category,link to the article
https://www.alexa.com/covid-19,https://sunnybrook.ca/research/media/item.asp?c=2&i=2069&f=covid-19-isolated-2020#.XmqdRmlrVfY.twitter
https://www.alexa.com/covid-19,https://www.cdc.gov/coronavirus/2019-nCoV/summary.html#risk-assessment
https://www.alexa.com/covid-19,https://www.acpjournals.org/doi/10.7326/M20-0504
https://www.alexa.com/covid-19,https://staythefuckhome.com/
https://www.alexa.com/covid-19,https://truepundit.com/cover-up-fauci-approved-chloroquine-hydroxychloroquine-15-years-ago-to-treat-nobody-needed-to-die/
https://www.alexa.com/covid-19,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins
https://www.alexa.com/covid-19,https://www.ahajournals.org/doi/10.1161/CIRCEP.120.008662#.XrG-i8LBjDA.twitter
https://www.alexa.com/covid-19,https://www.medrxiv.org/content/10.1101/2020.04.14.20062463v2
https://www.alexa.com/covid-19,https://www.pittwire.pitt.edu/news/covid-19-vaccine-candidate-shows-promise-first-peer-reviewed-research
https://www.alexa.com/covid-19/quarantine,https://www.nytimes.com/article/quarantine-coronavirus.html
https://www.alexa.com/covid-19/quarantine,https://nockingpointwines.com/product/quarantine/
https://www.alexa.com/covid-19/quarantine,https://www.thehindu.com/news/cities/Coimbatore/foreigners-in-quarantine-at-isha/article31221606.ece
https://www.alexa.com/covid-19/quarantine,https://www.vox.com/2020/3/12/21177182/coronavirus-covid-19-trump-exposure-quarantine
https://www.alexa.com/covid-19/quarantine,https://theweek.com/articles/921833/world-putting-america-quarantine
https://www.alexa.com/covid-19/quarantine,https://www.billboard.com/articles/news/international/9378674/blackpink-quarantine-playlist
https://www.alexa.com/covid-19/quarantine,https://nymag.com/intelligencer/2020/03/bolsonaro-coronavirus-test-positive-trump-quaruntine.html
https://www.alexa.com/covid-19/quarantine,https://smash.gg/tournament/the-quarantine-series/details
https://www.alexa.com/covid-19/quarantine,https://stpaulcenter.com/hub/?utm_source=spc+facebook&utm_medium=social&utm_content=hub+page+native+spc+fb+post&utm_campaign=hub
https://www.alexa.com/covid-19/quarantine,https://www.cdc.gov/quarantine/aboutlawsregulationsquarantineisolation.html
https://www.alexa.com/covid-19/shelter-in-place,https://www.turnto23.com/news/coronavirus/accelerated-urgent-care-doctors-recommend-lifting-shelter-in-place-order
https://www.alexa.com/covid-19/shelter-in-place,https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php
https://www.alexa.com/covid-19/shelter-in-place,https://www.cnn.com/2020/03/23/us/california-stay-at-home-beach-goers/index.html
https://www.alexa.com/covid-19/shelter-in-place,https://talkingpointsmemo.com/news/alabama-governor-refuse-shelter-in-place-order-not-california
https://www.alexa.com/covid-19/shelter-in-place,https://www.ajc.com/blog/politics/breaking-georgia-governor-orders-shelter-place-curb-coronavirus/vdAoWkjq39W2usr9e8W8BL/
